MM_Var,MM_loss,NSW,Total_Var,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,Loss3,Var3,Best3,Loss4,Var4,Best4,Loss5,Var5,Best5,d
14.802229034267377,-1.573507544231827,18.082183769695217,109.39708876075268,-0.693074483307047,19.783678199133636,20.476752682440683,-1.194580993367703,15.99657996579249,17.191160959160193,-1.2028295215465263,21.772653113867015,22.97548263541354,-0.6554520830306032,19.07943334622336,19.734885429253964,-1.573507544231827,14.802229034267377,16.375736578499204,-1.1629581201968868,17.96251510146881,19.125473221665697,12
15.623177220482333,-1.037966715573976,18.725178413690692,113.1526620394315,-0.6130509391292662,20.271865787037296,20.884916726166562,-0.8942192835127862,16.672532581145656,17.566751864658443,-0.9786186456966632,22.343727047251853,23.322345692948517,-0.5269663656524308,19.59836353897964,20.12532990463207,-1.037966715573976,15.623177220482333,16.66114393605631,-0.804545655554783,18.642995864534722,19.447541520089505,13
16.12849009634209,-0.8544146714852126,19.198239885922405,115.96349362901408,-0.4186845718255867,20.79097639156726,21.209660963392846,-0.7220612644450881,17.125238124736256,17.847299389181345,-0.8544146714852126,22.77303540125743,23.627450072742644,-0.39498685480540985,20.05809182521665,20.45307868002206,-0.748062248916785,16.12849009634209,16.876552345258876,-0.6463443874657635,19.087661789894398,19.73400617736016,14
16.543561887439143,-0.7935185652758818,19.566676424777974,118.14100364861811,-0.29379799404568985,21.197252784605304,21.491050778650994,-0.5640834761713407,17.529869743201374,18.093953219372715,-0.7935185652758818,23.074633691884515,23.868152257160396,-0.2563282071324977,20.447653622990806,20.703981830123304,-0.5298984057018323,16.543561887439143,17.073460293140975,-0.5946802998484735,19.348031918496968,19.94271221834544,15
16.830567185143472,-0.8096094485324343,19.805036499580233,119.53722144598356,-0.2916608649725738,21.467530643784414,21.759191508756988,-0.48222604311649775,17.81233040689596,18.294556450012458,-0.8096094485324343,23.21074240415585,24.020351852688286,-0.21806224873482094,20.699229723393696,20.917291972128517,-0.4079671170540742,16.830567185143472,17.238534302197547,-0.5797774502347011,19.516821082610157,20.096598532844858,16
17.018367545593154,-0.35689661896024205,20.1368263752679,121.58046167430089,-0.20208257655688655,21.754021672247838,21.956104248804724,-0.35008515180330946,18.078382815836843,18.428467967640152,-0.3222319659363073,23.81569350689957,24.137925472835878,-0.18660648702214644,20.915188411679154,21.1017948987013,-0.35689661896024205,17.018367545593154,17.375264164553396,-0.20673199461070269,19.99880772204435,20.205539716655053,17
17.232051475981674,-0.2880917472959439,20.312471187226816,122.61039526989116,-0.1376694613335907,21.95162084498788,22.08929030632147,-0.19852149994580515,18.284040513512352,18.482562013458157,-0.2880917472959439,23.928277049334653,24.216368796630597,-0.12469671587500031,21.100257463030754,21.224954178905755,-0.19012226397683918,17.232051475981674,17.422173739958513,-0.18704331475126068,20.11414792304384,20.301191237795102,18
17.372360823080143,-0.2814117992185281,20.429421496446075,123.2975643002496,-0.08317299415382706,22.08544567821754,22.168618672371366,-0.09466176431514484,18.42058911396529,18.515250878280433,-0.2814117992185281,24.005406007217648,24.286817806436176,-0.06586128824768167,21.223635285983256,21.289496574230938,-0.08016089525284187,17.372360823080143,17.452521718332985,-0.1940632554298709,20.19012739178573,20.3841906472156,19
17.419841827893926,-0.15506398697187151,20.522426316891885,123.87753970531364,-0.046455650583656194,22.165823903361236,22.212279553944892,-0.058808909227977324,18.474944684590135,18.533753593818112,-0.15506398697187151,24.2008832283063,24.35594721527817,-0.04051771406341942,21.288742772581344,21.329260486644763,-0.050705794467344134,17.419841827893926,17.47054762236127,-0.11734875328208005,20.327303288580715,20.444652041862795,20
17.451117818134687,-0.10897337786535743,20.577297898550942,124.21562828381613,-0.03172230704122825,22.21004598527847,22.241768292319698,-0.03563063275235123,18.510157758072765,18.545788390825116,-0.10897337786535743,24.29585278325881,24.404826161124166,-0.02563027770149162,21.32847540711644,21.35410568481793,-0.03198549618725721,17.451117818134687,17.483103314321944,-0.05942264164309563,20.41997853195496,20.479401173598056,21
17.469811171280753,-0.0823343536699177,20.60972156282068,124.41744013039047,-0.02413362378112538,22.239771412948492,22.263905036729618,-0.01404100332024072,18.531747387504875,18.545788390825116,-0.0823343536699177,24.362811759771606,24.445146113441524,-0.020138410633283144,21.353481400976616,21.3736198116099,-0.013292143041191196,17.469811171280753,17.483103314321944,-0.04739479633146004,20.459816997908135,20.507211794239595,22
